19/03/31 16:40
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	25371	131084	    704273	    799868	   13	
未翻訳：        	25367	131028	    704021	    799564	   13	
繰り返しを除いた：   	20308	122645	    662043	    754174	   13	
繰り返しを除いた未翻訳：	20305	122600	    661835	    753924	   13	


ファイルごとの翻訳状況：

ファイル名                                                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
OutwardEn/defeatScenarios.xml                           	    353	   349	        350	           347	   4052	  3996	       4026	          3981	         18596	        18344	             18484	                18276	         22037	        21733	             21902	                21652	
OutwardEn/dialogues_Blue_Chamber_Questline.xml          	   3232	  3232	       2720	          2720	  19981	 19981	      19340	         19340	        100122	       100122	             97360	                97360	        115317	       115317	            112440	               112440	
OutwardEn/dialogues_Holy_Mission_Questline.xml          	   3354	  3354	       2737	          2737	  20081	 20081	      19379	         19379	        100890	       100890	             97923	                97923	        116132	       116132	            113076	               113076	
OutwardEn/dialogues_Kingdom_Levant_Questline.xml        	   2202	  2202	       1808	          1808	  14349	 14349	      13861	         13861	         71199	        71199	             68794	                68794	         81952	        81952	             79452	                79452	
OutwardEn/dialogues_Merchants_Trainers_MessageBoards.xml	   1491	  1491	       1227	          1227	   9479	  9479	       9187	          9187	         49343	        49343	             47550	                47550	         56587	        56587	             54766	                54766	
OutwardEn/dialogues_neutral.xml                         	   4748	  4748	       3839	          3839	  29595	 29595	      28376	         28376	        146423	       146423	            141114	               141114	        168651	       168651	            163037	               163037	
OutwardEn/dialogues_Side_Quests.xml                     	    858	   858	        715	           715	   4912	  4912	       4644	          4644	         26313	        26313	             24865	                24865	         30046	        30046	             28473	                28473	
OutwardEn/gameplay_general.xml                          	   1041	  1041	        997	           997	   1871	  1871	       1812	          1812	         18977	        18977	             18575	                18575	         19591	        19591	             19175	                19175	
OutwardEn/item_all.xml                                  	   3843	  3843	       2016	          2016	  10667	 10667	       7096	          7096	         58368	        58368	             39426	                39426	         65174	        65174	             44406	                44406	
OutwardEn/menu_all.xml                                  	   2828	  2828	       2591	          2591	   8081	  8081	       7374	          7374	         72061	        72061	             68148	                68148	         76292	        76292	             71918	                71918	
OutwardEn/Quest_Log.xml                                 	    830	   830	        787	           787	   4590	  4590	       4287	          4287	         24158	        24158	             22868	                22868	         27424	        27424	             25875	                25875	
OutwardEn/skill_all.xml                                 	    445	   445	        378	           378	   2221	  2221	       2064	          2064	         11869	        11869	             11011	                11011	         13661	        13661	             12682	                12682	
OutwardEn/tips_all.xml                                  	    146	   146	        143	           143	   1205	  1205	       1199	          1199	          5954	         5954	              5925	                 5925	          7004	         7004	              6972	                 6972	
